panel,region,row_id,decile_median_width,onset_s,n_units,decile_median_nspikes
f,DMS,0,0.054545066581146856,-0.13750000000000662,20,
f,DMS,1,0.06215749765131715,-0.4875000000000054,20,
f,DMS,2,0.0711632714243062,-0.18750000000000644,21,
f,DMS,3,0.0823177398555349,-0.41250000000000564,19,
f,DMS,4,0.09802107783498609,-0.38750000000000573,20,
f,DMS,5,0.1079399757793252,-0.3625000000000058,21,
f,DMS,6,0.1260647598331833,-0.3375000000000059,19,
f,DMS,7,0.15824002348969415,-0.3375000000000059,20,
f,DMS,8,0.2010745267190728,-1.0875000000000032,20,
f,DMS,9,0.2872851292621425,-0.41250000000000564,21,
g,DMS,0,,-0.1125000000000067,614,5335.5
g,DMS,1,,-0.18750000000000644,614,11218.0
g,DMS,2,,-0.18750000000000644,615,21011.0
g,DMS,3,,-0.23750000000000626,613,33581.0
g,DMS,4,,-0.2875000000000061,614,51914.5
g,DMS,5,,-0.3375000000000059,614,77728.0
g,DMS,6,,-0.312500000000006,614,104685.5
g,DMS,7,,-0.3375000000000059,614,133205.0
g,DMS,8,,-0.3375000000000059,614,167249.5
g,DMS,9,,-0.3625000000000058,615,251817.0
